,IOC,INDUSINDBK,TATASTEEL,NTPC,BPCL
IOC,1.0,0.9225964423550195,0.09191170537262353,0.9202360062126815,0.18768999640934064
INDUSINDBK,0.9225964423550195,1.0,0.2751460857629864,0.906933479945166,0.24703843686446603
TATASTEEL,0.09191170537262353,0.2751460857629864,1.0,0.1847731752962775,0.1836189449070883
NTPC,0.9202360062126815,0.906933479945166,0.1847731752962775,1.0,0.053798366749296764
BPCL,0.18768999640934064,0.24703843686446603,0.1836189449070883,0.053798366749296764,1.0
